,miscleavage_model,var_subject,var_site,var_species,missingness,method,rmse_mean,rmse_se,n
205,global,1,0,0,0.5,int_sum,1.7250509820744253,0.15257074440485296,5
206,global,1,0,0,0.5,stoich_fraction,1.2734075836653524,0.058133199474951054,5
207,global,1,0,0,0.5,stoich_logit,13.332476895608128,0.932843604452165,5
208,global,1,0,0,0.5,stoich_pep_mean,1.2734075836653524,0.058133199474951054,5
209,global,1,0,0,0.5,stoich_pep_median,1.2734075836653524,0.058133199474951054,5
210,global,1,0,1,0.0,int_mean,0.8768124149912747,0.10278182474717577,5
211,global,1,0,1,0.0,int_median,0.9330780559930941,0.10157855404440037,5
212,global,1,0,1,0.0,int_sum,3.0708603231487315,0.48951836845044794,5
213,global,1,0,1,0.0,stoich_fraction,4.671388417834761e-16,2.1316983502941166e-17,5
214,global,1,0,1,0.0,stoich_logit,1.1561530589829574e-15,2.118432779803245e-16,5
215,global,1,0,1,0.0,stoich_pep_mean,4.671388417834761e-16,2.1316983502941166e-17,5
216,global,1,0,1,0.0,stoich_pep_median,4.671388417834761e-16,2.1316983502941166e-17,5
217,global,1,0,1,0.25,int_mean,0.9730404708828908,0.0629156353811834,5
218,global,1,0,1,0.25,int_median,0.9805076509038116,0.06193749754440561,5
219,global,1,0,1,0.25,int_sum,2.315026377049436,0.14763292074039178,5
220,global,1,0,1,0.25,stoich_fraction,0.8360669158422962,0.08674969289133079,5
221,global,1,0,1,0.25,stoich_logit,7.972591137157925,0.555928370722595,5
222,global,1,0,1,0.25,stoich_pep_mean,0.8360669158422962,0.08674969289133079,5
223,global,1,0,1,0.25,stoich_pep_median,0.8360669158422962,0.08674969289133079,5
224,global,1,0,1,0.5,int_mean,1.0011210372611907,0.05736342327774255,5
225,global,1,0,1,0.5,int_median,1.009540552491971,0.05730267185907116,5
226,global,1,0,1,0.5,int_sum,2.2649452806903625,0.400535722313593,5
227,global,1,0,1,0.5,stoich_fraction,1.2553362535844015,0.09216883255717578,5
228,global,1,0,1,0.5,stoich_logit,13.000306556107867,0.8439040707139625,5
229,global,1,0,1,0.5,stoich_pep_mean,1.2553362535844015,0.09216883255717578,5
230,global,1,0,1,0.5,stoich_pep_median,1.2553362535844015,0.09216883255717578,5
231,global,1,0,9,0.0,int_mean,1.0386175674267057,0.05246013841168449,5
232,global,1,0,9,0.0,int_median,1.0504876707071575,0.06755104575368376,5
233,global,1,0,9,0.0,int_sum,4.279043165584198,1.0474708397705834,5
234,global,1,0,9,0.0,stoich_fraction,4.713881700998889e-16,2.345394246859358e-17,5
235,global,1,0,9,0.0,stoich_logit,1.5385957480214568e-15,4.70925246391967e-17,5
236,global,1,0,9,0.0,stoich_pep_mean,4.713881700998889e-16,2.345394246859358e-17,5
237,global,1,0,9,0.0,stoich_pep_median,4.713881700998889e-16,2.345394246859358e-17,5
238,global,1,0,9,0.25,int_mean,0.9978929665209557,0.11950469017973486,5
