protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.25,0.0,0.0,5,zrollup/sum,1.601143374342442,0.12105125340327609,5
100,100,0.0,0.25,0.0,0.0,10,rollup/mean,0.669439516633868,0.06580344704804161,5
100,100,0.0,0.25,0.0,0.0,10,rollup/median,0.7929489625785492,0.08095361208054047,5
100,100,0.0,0.25,0.0,0.0,10,rollup/sum,2.496118222133296,0.053638572281633115,5
100,100,0.0,0.25,0.0,0.0,10,rrollup/mean,0.6579647155141408,0.06936648491590525,5
100,100,0.0,0.25,0.0,0.0,10,rrollup/median,0.773067764370135,0.07002669260148302,5
100,100,0.0,0.25,0.0,0.0,10,rrollup/sum,3.0220832017338317,0.2760649951764819,5
100,100,0.0,0.25,0.0,0.0,10,zrollup/mean,1.2259719497420025,0.08363138200239445,5
100,100,0.0,0.25,0.0,0.0,10,zrollup/median,1.3443631499961815,0.06950402560084375,5
100,100,0.0,0.25,0.0,0.0,10,zrollup/sum,1.9357569273488184,0.08678203686337986,5
100,100,0.0,0.25,0.0,1.0,5,rollup/mean,0.6291444539232438,0.0611868608573564,5
100,100,0.0,0.25,0.0,1.0,5,rollup/median,0.6756062888456478,0.07267416509668236,5
100,100,0.0,0.25,0.0,1.0,5,rollup/sum,2.264057349451339,0.18824699902413627,5
100,100,0.0,0.25,0.0,1.0,5,rrollup/mean,0.669688896493878,0.07922671978992782,5
100,100,0.0,0.25,0.0,1.0,5,rrollup/median,0.6508179558725654,0.07446275958357766,5
100,100,0.0,0.25,0.0,1.0,5,rrollup/sum,2.4467453933268315,0.22815040038325515,5
100,100,0.0,0.25,0.0,1.0,5,zrollup/mean,1.2581536511444018,0.06983318359475923,5
100,100,0.0,0.25,0.0,1.0,5,zrollup/median,1.2775306774492503,0.07759059344285164,5
100,100,0.0,0.25,0.0,1.0,5,zrollup/sum,1.5550705659187214,0.13937053749851433,5
100,100,0.0,0.25,0.0,1.0,10,rollup/mean,0.6900945449842983,0.14911220477926213,5
100,100,0.0,0.25,0.0,1.0,10,rollup/median,0.7689628109470603,0.13100226721917918,5
100,100,0.0,0.25,0.0,1.0,10,rollup/sum,2.285160553445329,0.2736417377697964,5
100,100,0.0,0.25,0.0,1.0,10,rrollup/mean,0.6817329114505601,0.15161131199086592,5
100,100,0.0,0.25,0.0,1.0,10,rrollup/median,0.7349623035491877,0.14119921333995894,5
