protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.25,1.0,9.0,5,rollup/median,0.9555394855930283,0.17172172362304752,5
100,100,0.0,0.25,1.0,9.0,5,rollup/sum,3.551827055206494,0.826172932268369,5
100,100,0.0,0.25,1.0,9.0,5,rrollup/mean,0.9728901132453984,0.17785797192620417,5
100,100,0.0,0.25,1.0,9.0,5,rrollup/median,1.0095977654316384,0.18634976513278456,5
100,100,0.0,0.25,1.0,9.0,5,rrollup/sum,3.816869560445344,0.7611596207974386,5
100,100,0.0,0.25,1.0,9.0,5,zrollup/mean,1.3770503595723542,0.042349596168467514,5
100,100,0.0,0.25,1.0,9.0,5,zrollup/median,1.38325113066535,0.046994335798350516,5
100,100,0.0,0.25,1.0,9.0,5,zrollup/sum,1.6878751326222918,0.06204259036747371,5
100,100,0.0,0.25,1.0,9.0,10,rollup/mean,0.8596321294214497,0.13136462172103708,5
100,100,0.0,0.25,1.0,9.0,10,rollup/median,0.9615307106240257,0.14720835585696496,5
100,100,0.0,0.25,1.0,9.0,10,rollup/sum,2.3006022666616324,0.149941607854459,5
100,100,0.0,0.25,1.0,9.0,10,rrollup/mean,0.8738071994531793,0.12078134281511917,5
100,100,0.0,0.25,1.0,9.0,10,rrollup/median,0.8983361548944186,0.12110805253764992,5
100,100,0.0,0.25,1.0,9.0,10,rrollup/sum,2.4015659720216584,0.21885010060594837,5
100,100,0.0,0.25,1.0,9.0,10,zrollup/mean,1.122847491473443,0.10126385423752803,5
100,100,0.0,0.25,1.0,9.0,10,zrollup/median,1.122594014157798,0.09884145322585118,5
100,100,0.0,0.25,1.0,9.0,10,zrollup/sum,1.1547477082579523,0.11687519580390641,5
100,100,0.0,0.25,9.0,0.0,5,rollup/mean,1.99785836898486,0.25377880708030565,5
100,100,0.0,0.25,9.0,0.0,5,rollup/median,2.017793878427784,0.2370549179458424,5
100,100,0.0,0.25,9.0,0.0,5,rollup/sum,5.004751146110295,0.509107580198579,5
100,100,0.0,0.25,9.0,0.0,5,rrollup/mean,1.998466253246337,0.25229018899927524,5
100,100,0.0,0.25,9.0,0.0,5,rrollup/median,2.0098611468679755,0.2320418505733722,5
100,100,0.0,0.25,9.0,0.0,5,rrollup/sum,5.09656616527942,0.5021233737495319,5
100,100,0.0,0.25,9.0,0.0,5,zrollup/mean,1.566545109978399,0.10326309959924085,5
